playerId,displayName,overrideValue,looksAbbreviated,knownNames
11614d87,D Pretorius,,yes,D Pretorius
0264c10e,D Salunkhe,,yes,D Salunkhe
aa8d28ae,D Wiese,,yes,D Wiese
d67d5f00,DA Miller,,yes,DA Miller
dcce6f09,DA Warner,,yes,DA Warner
2e9fdf9b,DAJ Bracewell,,yes,DAJ Bracewell
7050a1e7,DB Das,,yes,DB Das
b720a5d6,DB Ravi Teja,,yes,DB Ravi Teja
45c2196c,DE Bollinger,,yes,DE Bollinger
cd8d2859,DG Nalkande,,yes,DG Nalkande
063b3673,DH Yagnik,,yes,DH Yagnik
87e562a9,DJ Bravo,,yes,DJ Bravo
39f82db3,DJ Harris,,yes,DJ Harris
73ad96ed,DJ Hooda,,yes,DJ Hooda
fd835ab3,DJ Hussey,,yes,DJ Hussey
a84468fe,DJ Jacobs,,yes,DJ Jacobs
ad9c32a2,DJ Malan,,yes,DJ Malan
eade4650,DJ Mitchell,,yes,DJ Mitchell
2c76b512,DJ Muthuswami,,yes,DJ Muthuswami
7d3937ed,DJ Thornely,,yes,DJ Thornely
7f048519,DJ Willey,,yes,DJ Willey
c03c6200,DJG Sammy,,yes,DJG Sammy
1a156c88,DJM Short,,yes,DJM Short
d7c6af50,DL Vettori,,yes,DL Vettori
14b14cd8,DM Bravo,,yes,DM Bravo
e0351c86,DNT Zoysa,,yes,DNT Zoysa
c404f58a,DP Nannes,,yes,DP Nannes
acd4f5dc,DP Vijaykumar,,yes,DP Vijaykumar
d18f9182,DPMD Jayawardene,,yes,DPMD Jayawardene
69762509,DR Martyn,,yes,DR Martyn
caf69bf7,DR Sams,,yes,DR Sams
faa7365d,DR Shorey,,yes,DR Shorey
35205dfc,DR Smith,,yes,DR Smith
d2a989fc,DS Kulkarni,,yes,DS Kulkarni
53fe6ee4,DS Lehmann,,yes,DS Lehmann
13fc5c6d,DS Rathi,,yes,DS Rathi
2a2e6343,DT Christian,,yes,DT Christian
f48cf4da,DT Patil,,yes,DT Patil
8fd1a8f5,DW Steyn,,yes,DW Steyn
0ebfb1ad,E Lewis,,yes,E Lewis
5750bcb4,E Malinga,,yes,E Malinga
d2a6c0e6,EJG Morgan,,yes,EJG Morgan
b274dbbd,ER Dwivedi,,yes,ER Dwivedi
dce2019b,F Behardien,,yes,F Behardien
b52ffbbd,FA Allen,,yes,FA Allen
a7c226e1,FH Edwards,,yes,FH Edwards
c15e2193,FY Fazal,,yes,FY Fazal
3204c99f,G Coetzee,,yes,G Coetzee
bb345e0b,G Gambhir,,yes,G Gambhir
f708a0bc,GB Hogg,,yes,GB Hogg
72861603,GC Smith,,yes,GC Smith
a316d663,GC Viljoen,,yes,GC Viljoen
ee7d0c82,GD McGrath,,yes,GD McGrath
9a46c4e5,GD Phillips,,yes,GD Phillips
94253925,GH Vihari,,yes,GH Vihari
be869ccf,GHS Garton,,yes,GHS Garton
5056011d,GJ Bailey,,yes,GJ Bailey
611926bc,GR Napier,,yes,GR Napier
1558d83b,GS Sandhu,,yes,GS Sandhu
0ed0cdbf,H Das,,yes,H Das
52294a79,H Sharma,,yes,H Sharma
4ae1755b,HC Brook,,yes,HC Brook
9948e262,HE van der Dussen,,yes,HE van der Dussen
e412cb64,HF Gurney,,yes,HF Gurney
e1d1b294,HH Gibbs,,yes,HH Gibbs
dbe50b21,HH Pandya,,yes,HH Pandya
e798611a,HM Amla,,yes,HM Amla
0c9652b0,HR Shokeen,,yes,HR Shokeen
943fd425,I Malhotra,,yes,I Malhotra
5bb1a1c4,I Sharma,,yes,I Sharma
ac5ae4af,I Udana,,yes,I Udana
e0407c01,IC Pandey,,yes,IC Pandey
fdf7491e,IC Porel,,yes,IC Porel
5fa06777,IK Pathan,,yes,IK Pathan
dded65e7,IR Jaggi,,yes,IR Jaggi
641ac5ff,IS Sodhi,,yes,IS Sodhi
f663ef00,J Arunkumar,,yes,J Arunkumar
7c503806,J Botha,,yes,J Botha
9061a703,J Little,,yes,J Little
59559bc2,J Overton,,yes,J Overton
4125d931,J Suchith,,yes,J Suchith
c64c2443,J Syed Mohammad,,yes,J Syed Mohammad
dec8e038,J Theron,,yes,J Theron
81049310,J Yadav,,yes,J Yadav
